video_id,title,published_at,views,likes,comments,year,league,engagement_rate,snapshot_date
GbxOzoGC8Ko,Best of Breanna Stewart&#39;s 2018 Season,2018-12-06 19:00:03+00:00,53749,627,167,2018,WNBA,0.0148,2026-05-26T15:33:24.987933
exNF4zCrBHI,Best of 2018: Jonquel Jones,2018-12-06 18:02:19+00:00,5731,108,9,2018,WNBA,0.0204,2026-05-26T15:33:24.987933
2IaIVPD09QA,Best of Sue Bird&#39;s 2018 Season,2018-12-06 17:00:00+00:00,212931,2356,621,2018,WNBA,0.014,2026-05-26T15:33:24.987933
IC7TRaX9q-0,Best of Brittney Griner&#39;s 2018 Season,2018-12-06 15:40:01+00:00,211339,1128,506,2018,WNBA,0.0077,2026-05-26T15:33:24.987933
p7dCG6PaUWs,Best of 2018: Courtney Vandersloot,2018-11-20 22:34:39+00:00,7548,160,18,2018,WNBA,0.0236,2026-05-26T15:33:24.987933
Di6eap6TjFI,Best of 2018: Kia Nurse,2018-11-16 17:51:04+00:00,22667,219,14,2018,WNBA,0.0103,2026-05-26T15:33:24.987933
beX_A7sWPK8,Best of Chiney Ogwumike&#39;s 2018 Season,2018-11-05 15:29:57+00:00,29446,285,25,2018,WNBA,0.0105,2026-05-26T15:33:24.987933
wAtSxK1U3rs,Best of Liz Cambage&#39;s 2018 Season,2018-10-31 22:36:13+00:00,262829,1976,157,2018,WNBA,0.0081,2026-05-26T15:33:24.987933
cESRSTTo5hg,Best of Diana Taurasi&#39;s 2018 Season,2018-10-30 20:14:59+00:00,112502,1313,119,2018,WNBA,0.0127,2026-05-26T15:33:24.987933
wEjnHItbti0,Best of Nneka Ogwumike&#39;s 2018 Season,2018-10-26 17:12:11+00:00,27153,329,24,2018,WNBA,0.013,2026-05-26T15:33:24.987933
tY9JJN2gcXo,Best of Maya Moore&#39;s 2018 Season,2018-10-25 21:37:30+00:00,152793,1430,198,2018,WNBA,0.0107,2026-05-26T15:33:24.987933
_trD5ccZxjU,Best of Kayla McBride&#39;s 2018 Season,2018-10-24 20:39:54+00:00,14496,287,14,2018,WNBA,0.0208,2026-05-26T15:33:24.987933
WmGix0CTtlU,Best of 2018 Season: Tiffany Hayes,2018-10-23 20:01:49+00:00,9359,192,16,2018,WNBA,0.0222,2026-05-26T15:33:24.987933
CxNNcfBviZQ,Best of Diamond DeShields&#39; 2018 Season,2018-10-22 23:01:43+00:00,22513,332,28,2018,WNBA,0.016,2026-05-26T15:33:24.987933
vlHnbS0DLEM,Best of 2018 Season: Kelsey Mitchell,2018-10-22 01:34:54+00:00,4609,80,9,2018,WNBA,0.0193,2026-05-26T15:33:24.987933
shIFWbDPnuc,Best of 2018 Season: Tina Charles,2018-10-19 21:18:58+00:00,5163,83,11,2018,WNBA,0.0182,2026-05-26T15:33:24.987933
ohp6ovBNk3E,Best of 2018 Season: Angel McCoughtry,2018-10-19 12:48:44+00:00,9459,131,10,2018,WNBA,0.0149,2026-05-26T15:33:24.987933
WNH2o-lWDsk,Best Of Sue Bird From 2018 Finals,2018-09-13 04:54:43+00:00,41802,427,21,2018,WNBA,0.0107,2026-05-26T15:33:24.987933
om9ISBnsVAk,The BEST of Breanna Stewart From 2018 Finals,2018-09-13 04:28:16+00:00,35012,401,24,2018,WNBA,0.0121,2026-05-26T15:33:24.987933
w9LwTd6376Y,Sue Bird Records Double-Double in Finals Game 3,2018-09-13 04:14:29+00:00,4122,84,1,2018,WNBA,0.0206,2026-05-26T15:33:24.987933
1mQXEht1Pbw,Seattle Sinks 13 Triples in Finals Game 3,2018-09-13 04:05:51+00:00,10219,132,2,2018,WNBA,0.0131,2026-05-26T15:33:24.987933
30g_hgTwCY8,Alysha Clark&#39;s Best From Finals Game 3,2018-09-13 03:07:32+00:00,7725,109,5,2018,WNBA,0.0148,2026-05-26T15:33:24.987933
QdyMj0mF0MM,Natasha Howard&#39;s BEST Plays From Finals Game 3,2018-09-13 03:01:55+00:00,2190,45,7,2018,WNBA,0.0237,2026-05-26T15:33:24.987933
pkOh1DzOils,BEST of Breanna Stewart From Finals Game 3,2018-09-13 02:41:03+00:00,16264,129,17,2018,WNBA,0.009,2026-05-26T15:33:24.987933
9I7EWrd9n8Y,Full Game Highlights | Storm Take 2-0 Finals Lead In Nail-Biting Win,2018-09-10 20:59:54+00:00,3139,59,3,2018,WNBA,0.0198,2026-05-26T15:33:24.987933
rC076DQNEqw,2018 MVP Breanna Stewart Season Highlights,2018-09-10 15:59:18+00:00,10913,132,11,2018,WNBA,0.0131,2026-05-26T15:33:24.987933
HGcILWSBD5E,Top 5 Plays From Finals Game 2,2018-09-09 23:46:45+00:00,859,15,8,2018,WNBA,0.0268,2026-05-26T15:33:24.987933
ZzJiA2CYChI,BEST from Rookie of the Year A&#39;ja Wilson,2018-09-09 18:45:16+00:00,13860,210,27,2018,WNBA,0.0171,2026-05-26T15:33:24.987933
QRqW_f20x4Y,USAB Women&#39;s National Team Overcomes 12 PT Deficit to Defeat Canada in Exhibition,2018-09-09 01:48:39+00:00,2235,61,5,2018,WNBA,0.0295,2026-05-26T15:33:24.987933
fcZ4UVEiwBo,"Full Game Highlights | Stewart, Loyd Combine For 45 PTS As Storm Take 1-0 Finals Lead",2018-09-08 16:16:19+00:00,5646,82,5,2018,WNBA,0.0154,2026-05-26T15:33:24.987933
DklkNTsz0Qg,Tina Thompson Hall of Fame Induction Speech,2018-09-08 01:48:45+00:00,13158,232,27,2018,WNBA,0.0197,2026-05-26T15:33:24.987933
