views,title
262829,Best of Liz Cambage&#39;s 2018 Season
234254,Full Game Highlights | Sue Bird TAKES OVER In 4th Q As Storm Advance To Finals
212931,Best of Sue Bird&#39;s 2018 Season
211339,Best of Brittney Griner&#39;s 2018 Season
152793,Best of Maya Moore&#39;s 2018 Season
112502,Best of Diana Taurasi&#39;s 2018 Season
98268,Sue Bird&#39;s Career All-Star Highlight Mix
85840,Liz Cambage Scores 43 Points As Wings Clinch Playoff Spot
53749,Best of Breanna Stewart&#39;s 2018 Season
49286,Skylar Diggins-Smith 1st Round Highlights
41802,Best Of Sue Bird From 2018 Finals
35012,The BEST of Breanna Stewart From 2018 Finals
32448,Liz Cambage&#39;s 53 Points Sets NEW Record For Points In A Single-Game!
29446,Best of Chiney Ogwumike&#39;s 2018 Season
28153,Best of Sue Bird in Semifinals
27153,Best of Nneka Ogwumike&#39;s 2018 Season
24752,Candace Parker&#39;s Double-Double Lifts Sparks Past Lynx
23642,Player of the Month Highlights: Breanna Stewart
22667,Best of 2018: Kia Nurse
22513,Best of Diamond DeShields&#39; 2018 Season
19499,Skylar Diggins-Smith Goes For 25 points To Open The 2018 Season!
19499,Skylar Diggins-Smith Goes For 25 points To Open The 2018 Season!
18547,Best of Lindsay Whalen&#39;s Career Clutch Moments
18467,USA Basketball Camp: Behind the Scenes at Practice
17818,Best of Diana Taurasi 13-0 Record in Elimination Games
17503,No. 1 Pick A&#39;ja Wilson Receives Surprise Congratulations From Blake Griffin
17046,"Sue Bird Records 19 PTS, 6 AST to put Storm Up 2-0"
16264,BEST of Breanna Stewart From Finals Game 3
15597,Breanna Stewart (32 Points) Leads Storm to Win in New York
15180,Best Buckets From Storm&#39;s 35-Point q4 In Game 5
14496,Best of Kayla McBride&#39;s 2018 Season
14111,"Sue Bird Tallies Double-Double (14 PTS, 11 AST) vs. Lynx"
13860,BEST from Rookie of the Year A&#39;ja Wilson
13635,Best of Sue Bird Clutch Moments
13269,Fantastic Finish: Sparks and Lynx Go Head-To-Head In 2018 Opener!
13269,Fantastic Finish: Sparks and Lynx Go Head-To-Head In 2018 Opener!
13206,A&#39;ja Wilson Scores 26 Points &amp; 12 Rebounds As Aces Secure First Franchise Win
13158,Tina Thompson Hall of Fame Induction Speech
12944,Diana Taurasi 1st Round Highlights
12879,Relive The Mercury&#39;s 17-Point Comeback To Force Game 5
12833,Best of Candace Parker&#39;s Rookie Season
12208,"Liz Cambage Scores 33 PTS, 13 REB vs. Sky"
11998,Nneka (19 PTS) and Chiney Ogwumike (18 PTS) Duel in Connecticut
11998,Nneka (19 PTS) and Chiney Ogwumike (18 PTS) Duel in Connecticut
10913,2018 MVP Breanna Stewart Season Highlights
10902,Sue Bird Becomes All-Time Leader In Career Minutes Played
10805,Watch Me Work 3.0 – Skylar Diggins-Smith
10797,"Plum, Wilson &amp; McBride Combine For 57 Points vs. Fever"
10778,Diana Taurasi Scores Season-High 29 In Win Over Lynx
10219,Seattle Sinks 13 Triples in Finals Game 3
10090,Diana Taurasi Q4 Buckets in Game 2
9809,Liz Cambage 1st Round Playoff Highlights
9565,"Brittney Griner, Diana Taurasi and DeWanna Bonner Combine For Historic 84 PTS"
9459,Best of 2018 Season: Angel McCoughtry
9420,Behind the Scenes: Sylvia Fowles vs. Breanna Stewart in China
9359,Best of 2018 Season: Tiffany Hayes
9250,Skylar Diggins-Smith Puts in Work in Offseason
9250,Skylar Diggins-Smith Puts in Work in Offseason
9182,"Liz Cambage Drops HUGE 37 PTS, 9 REB vs. Fever"
8502,Azura Stevens Scores 19 Points in Preseason Debut
8062,Brittney Griner Throws Down Dunk in Preseason Action
8011,Minnesota&#39;s Lindsay Whalen &amp; Jeff Teague Break Down Point Guard Play
7969,Rookie of the Month Highlights: A&#39;ja Wilson!
7742,Renee Montgomery Sets Dream Record For 3PT FG Made In Single Season
7725,Alysha Clark&#39;s Best From Finals Game 3
7548,Best of 2018: Courtney Vandersloot
7431,Watch Me Work 3.0 – Stefanie Dolson
7431,Watch Me Work 3.0 – Stefanie Dolson
7405,Chelsea Gray 1st Round Highlights
7182,"Candace Parker Posts 34 Points, 11 Rebounds, 9 Assists vs. Aces"
6945,Full Game Highlights | MVP Stewart&#39;s 28 PTS Give Storm 1-0 Series Lead Over Mercury
6910,Elena Delle Donne Drops 23 Points in Win Over Aces
6910,Elena Delle Donne Drops 23 Points in Win Over Aces
6844,Tina Thompson 2018 Hall of Fame Career Retrospective
6750,"Full Game Highlights | Taurasi, Bonner Lead Mercury Past Wings"
6456,"Diana Taurasi Drops 26, Surpasses 1,000 Career 3s in Season-Opening Win"
6456,"Diana Taurasi Drops 26, Surpasses 1,000 Career 3s in Season-Opening Win"
6065,Maya Moore Drops HUGE 34 PTS As Lynx Win And Clinch Playoffs
6062,"Best of Courtney Vandersloot Historic 81 PTS, 57 AST Over 5 Game Stretch"
6032,Katie Smith 2018 Hall of Fame Career Retrospective
6009,Skylar Diggins-Smith Explodes For 32 Points vs. Liberty
5976,Tiffany Hayes Nails GAME-WINNER From Beyond Halfcourt vs. Sun
5966,"Diana Taurasi Drops Season-High 37 PTS, 9 AST vs. Aces"
5731,Best of 2018: Jonquel Jones
5646,"Full Game Highlights | Stewart, Loyd Combine For 45 PTS As Storm Take 1-0 Finals Lead"
5163,Best of 2018 Season: Tina Charles
5163,"Best Of Bonner, Griner &amp; Turner&#39;s Game 3"
5079,EDD &amp; Toliver Push Mystics to Game 5 Win
4920,Katie Smith Hall of Fame Induction Speech
4643,"Full Game Highlights | EDD, Mystics Punch Their Ticket To Semis"
4609,Best of 2018 Season: Kelsey Mitchell
4548,24 Seconds With Allisha Gray
4448,Breanna Stewart Game 1 Highlights
4412,Player of the Month Highlights: Tiffany Hayes!
4354,Brittney Griner Records 29 PTS &amp; 12 REB To Even Semifinals Series
4322,DeWanna Bonner Scores Season-High 31 Points vs. Sparks
4310,Sue Bird Dishes 10 Assists in Game 1
4259,Watch Chelsea Gray Beat The Buzzer To Open 2018 Season For The Sparks!
4259,Watch Chelsea Gray Beat The Buzzer To Open 2018 Season For The Sparks!
4122,Sue Bird Records Double-Double in Finals Game 3
4050,"Maya Moore, Sylvia Fowles Combine For 32 Points vs. Sky"
4050,"Maya Moore, Sylvia Fowles Combine For 32 Points vs. Sky"
4041,Full Game Highlights | Mystics Punch Their Ticket To First-Ever Finals
4026,Whitcomb &amp; Clark Record 24 Key Points
3916,Mercury Trio Record 77 PTS
3910,"Brittney Griner Blocks 7 Shots, Adds 19 Points &amp; 15 Boards vs. Aces"
3883,Brittney Griner&#39;s BEST Buckets in Game 2
3732,Angel McCoughtry and Tiffany Hayes Combine for 40 PTS vs. Sky
3731,Elena Delle Donne Dishes A Career-High 7 Assists To Go Along With 13 Points In 2018 Opener!
3731,Elena Delle Donne Dishes A Career-High 7 Assists To Go Along With 13 Points In 2018 Opener!
3671,Kristi Toliver Drops Season-High 30 Points vs. Mercury
3652,Elena Delle Donne Scores 30 Points in Win Over Liberty
3590,Sue Bird Drops 8 Assists In Record-Setting 11th All-Star Game Appearance
3577,Kayla McBride and Diana Taurasi Duel As Aces Narrowly Defeat Mercury
3478,"Breanna Stewart, Jewell Loyd Score 15 Apiece vs. Mercury"
3478,"Breanna Stewart, Jewell Loyd Score 15 Apiece vs. Mercury"
3434,Full Game Highlights | Gray Powers Sparks Over Lynx In Finals Rematch
3331,Full Game Highlights | Mystics Force Winner-Take-All Game 5 In ATL
3306,Diana Taurasi Scores 25 Points in Win Over Sun
3243,Lindsay Whalen 1st Round Highlights
3182,"Sue Bird Milestones To Reach 6,000 Career Points"
3139,Full Game Highlights | Storm Take 2-0 Finals Lead In Nail-Biting Win
3137,Tina Charles Erupts With 34 Points and 10 Rebounds In Liberty Thriller
3137,Tina Charles Erupts With 34 Points and 10 Rebounds In Liberty Thriller
3043,Breanna Stewart Records 28 PTS in Game 5 Victory
3000,Elena Delle Donne Drops HUGE Double-Double vs. Dream
2938,"Sylvia Fowles (23 PTS, 20 REB, 5 STL) Makes History vs. Wings"
2938,"Sylvia Fowles (23 PTS, 20 REB, 5 STL) Makes History vs. Wings"
2871,Full Game Highlights | Mercury Protect Homecourt To Force Game 4
2853,Maya Moore and Sylvia Fowles 1st Round Highlights
2717,Best of Candace Parker From 2nd Round
2598,PostUp: Skylar Diggins-Smith
2468,DeWanna Bonner 1st Round Playoff Highlights with Postgame Interview
2396,Top 10 Plays from Game 5 of the Semifinals
2385,Essence Carson&#39;s Top Plays This Season
2375,Kristi Toliver&#39;s 22 PTS Paces Mystics To Even Series
2357,Yvonne Turner Logs Playoffs Career-High vs. Storm
2351,"Breanna Stewart Scores 26 PTS, 10 REB vs. Fever"
2321,Brittney Griner&#39;s 2nd Round Highlights
2293,New York Liberty: Best of 2017 Season
2261,Kelsey Plum Tallies Franchise Record 13 AST
2235,USAB Women&#39;s National Team Overcomes 12 PT Deficit to Defeat Canada in Exhibition
2233,"A&#39;ja Wilson, Kayla McBride Combine for 34 PTS In Aces Win"
2216,"Stewart, Loyd, Howard Record 20+ PTS"
2201,Watch Me Work 3.0 – Skylar Diggins-Smith (TRT- 0:30)
2197,"Nneka Ogwumike (20 PTS, 11 REB) Leads Sparks to Victory"
2190,Natasha Howard&#39;s BEST Plays From Finals Game 3
2133,Top Plays From Phoenix Mercury&#39;s 7-Game Win Streak
2127,Connecticut Sun: Best Plays of the 2017 Season
2089,Top 10 Plays of Game 2 Best-Of-5 Semifinals
2086,Brittney Griner Drops Season-High 36 Points vs. Fever
2080,24 Seconds With Natalie Achonwa
2053,Shavonte Zellous Drills Game-Winning Three At The Buzzer!
2037,Jasmine Thomas Scores Career-High 30 Points vs. Aces
1990,Full Game Highlights | Griner Wins Game 4 Late For Mercury
1966,Alyssa Thomas Scores Game-High 21 Points vs. Fever
1966,Alyssa Thomas Scores Game-High 21 Points vs. Fever
1963,EDD Posts Double-Double In Game 4 Win
1961,DeWanna Bonner Leads Phoenix Past Seattle In Game 3 Win
1960,Breanna Stewart (22 PTS) Helps Storm Secure No. 1 Seed
1905,Full Game Highlights | Mystics Take Semis Game 1 In ATL
1890,Watch Me Work 3.0 – Sylvia Fowles
1879,A&#39;ja Wilson Drops 21 PTS In Final Game of Rookie Season
1865,Full Game Highlights | Storm Prevail In Thrilling OT Game 2
1848,"Full Game Highlights | DT, BG, Bonner Prove To Be Too Much For Sun"
1834,Taurasi &amp; Bonner Game 1 Highlights
1817,Sue Bird Becomes Storm&#39;s All-Time Leading Scorer
1808,Breanna Stewart with 29 Points vs  Atlanta Dream
1765,New York Liberty vs. Connecticut Sun Ends in Thrilling Fashion
1758,Alex Bentley Drops 22 PTS in Game 2 Win
1730,"Tina Charles (35 PTS, 15 REB) and Sylvia Fowles (27 PTS, 11 REB) Duel As Lynx Defeat Liberty"
1710,Watch Me Work 3.0 – Stefanie Dolson
1710,Watch Me Work 3.0 – Stefanie Dolson
1654,Renee Montgomery Drops Career-High 7 Three&#39;s vs. Liberty
1620,3-Point Contest Participant: Kayla McBride
1582,Diana Taurasi and Stephanie Talbot Combine for 28 PTS vs. Fever
1580,Best of Courtney Vandersloot&#39;s Historic 50 AST Over Four Games
1561,Elena Delle Donne Drops 25 PTS In Mystics Win vs. Fever
1553,Elizabeth Williams Sets Career-High 22 PTS vs. Aces
1546,Azurá Stevens with 26 Points vs  Indiana Fever
1538,"Alex Bentley Scores 22 PTS, 8 AST Off-The-Bench vs. Aces"
1520,Breanna Stewart&#39;s BEST Buckets From Game 2
1514,Top 3 Plays From This Week (June 5)
