video_id,title,published_at,views,likes,comments,league,snapshot_date,engagement_rate
tUEwtEJ4Nbw,"Atlanta Dream vs. Portland Fire | FULL GAME HIGHLIGHTS | May 30, 2026",2026-05-30 04:21:18+00:00,48711,1014,248,WNBA,2026-05-30T15:05:39.170655,0.0259
65rAy5jJiow,"Los Angeles Sparks vs. Washington Mystics | FULL GAME HIGHLIGHTS | May 29, 2026",2026-05-30 02:37:24+00:00,26105,577,87,WNBA,2026-05-30T15:05:39.170655,0.0254
ELSUSiJvBXc,"Phoenix Mercury vs. New York Liberty | FULL GAME HIGHLIGHTS | May 29, 2026",2026-05-30 02:25:46+00:00,19216,380,33,WNBA,2026-05-30T15:05:39.170655,0.0215
x9qFG3SVJhE,"Minnesota Lynx vs. Chicago Sky | FULL GAME HIGHLIGHTS | May 29, 2026",2026-05-30 01:55:24+00:00,21897,513,50,WNBA,2026-05-30T15:05:39.170655,0.0257
0g7_yFKhbxE,"Golden State Valkyries vs Indiana Fever | Full Game Highlights | May 28, 2026",2026-05-29 05:02:53+00:00,204702,2763,1002,WNBA,2026-05-30T15:05:39.170655,0.0184
Hm3gBlEKTpw,"Las Vegas Aces vs. Dallas Wings | FULL GAME HIGHLIGHTS | May 28, 2026",2026-05-29 04:37:56+00:00,67794,1508,188,WNBA,2026-05-30T15:05:39.170655,0.025
DsmH2lMDqn0,Road test incoming for the Aces!,2026-05-28 23:43:04+00:00,6691,285,2,WNBA,2026-05-30T15:05:39.170655,0.0429
EqqZElU37L0,A rookie on a mission ⭐,2026-05-28 23:23:50+00:00,9277,335,8,WNBA,2026-05-30T15:05:39.170655,0.037
h8SjNuFUpJs,Admin and Paige at it again 😅,2026-05-28 22:59:53+00:00,49638,487,4,WNBA,2026-05-30T15:05:39.170655,0.0099
matkt_6tkIc,Week 1: Eastern Conference Player of the Week Breanna Stewart,2026-05-28 20:16:07+00:00,1118,42,6,WNBA,2026-05-30T15:05:39.170655,0.0429
BT5t6O932_M,"Connecticut Sun vs. Portland Fire | FULL GAME HIGHLIGHTS | May 27, 2026",2026-05-28 05:19:26+00:00,25486,666,97,WNBA,2026-05-30T15:05:39.170655,0.0299
mLJu3t-kdl4,"Washington Mystics vs. Seattle Storm | FULL GAME HIGHLIGHTS | May 27, 2026",2026-05-28 04:45:24+00:00,39860,731,70,WNBA,2026-05-30T15:05:39.170655,0.0201
9p6-bfzn1TE,"Atlanta Dream vs. Minnesota Lynx | FULL GAME HIGHLIGHTS | May 27, 2026",2026-05-28 03:55:44+00:00,58797,1036,391,WNBA,2026-05-30T15:05:39.170655,0.0243
T8BnuvHuULQ,"Toronto Tempo vs. Chicago Sky | FULL GAME HIGHLIGHTS | May 27, 2026",2026-05-28 03:15:19+00:00,53299,975,119,WNBA,2026-05-30T15:05:39.170655,0.0205
VyiImT6Wg54,"Phoenix Mercury vs. New York Liberty | FULL GAME HIGHLIGHTS | May 27, 2026",2026-05-28 01:49:30+00:00,40841,811,97,WNBA,2026-05-30T15:05:39.170655,0.0222
zvURB7neGJc,EXPANSION PHASE 1 EXPLANIED + ANN-RENEE DESBIENS,2026-05-29 09:30:07+00:00,3946,229,29,PWHL,2026-05-30T15:05:39.170655,0.0654
0ldJQhZK22g,PWHL 101 with Professor Puck! | Episode 6: Expansion Player Distribution Process,2026-05-27 22:31:36+00:00,14182,983,109,PWHL,2026-05-30T15:05:39.170655,0.077
vw6oWr7-F7o,EPISODE 21 with LAILA EDWARDS,2026-05-27 18:27:17+00:00,2501,183,20,PWHL,2026-05-30T15:05:39.170655,0.0812
6ycUKoDbwew,&quot;It&#39;s the PWHL - every game is close.&quot;,2026-05-20 21:30:26+00:00,4191,504,2,PWHL,2026-05-30T15:05:39.170655,0.1207
4dDNU7lL5-A,&quot;They&#39;re gonna find a way.&quot; 😤,2026-05-20 19:31:54+00:00,6494,550,4,PWHL,2026-05-30T15:05:39.170655,0.0853
LeghNT7NLjU,OT HEROICS 🚨,2026-05-16 21:42:39+00:00,7782,598,25,PWHL,2026-05-30T15:05:39.170655,0.0801
Datav-IWvSM,"PWHL Finals: Ottawa Charge at Montréal Victoire - May 14, 2026 | Game 1",2026-05-15 23:34:08+00:00,17601,453,23,PWHL,2026-05-30T15:05:39.170655,0.027
05VaoC5c-oM,"PWHL Playoffs: Minnesota Frost at Montréal Victoire - May 12, 2026 | Game 5",2026-05-13 21:49:15+00:00,10211,247,22,PWHL,2026-05-30T15:05:39.170655,0.0263
eh8jETs5Y6Y,MORE EXPANSION?! EPISODE 19 with LACEY EDEN,2026-05-13 19:09:04+00:00,2909,138,23,PWHL,2026-05-30T15:05:39.170655,0.0553
