league,year,video_count,total_views,avg_views,median_views,top_video_views,avg_engagement_rate,top_video_title,snapshot_date
WNBA,2018,9,986986,109665,98393,234309,0.0114,Full Game Highlights | Sue Bird TAKES OVER In 4th Q As Storm Advance To Finals,2026-05-30T15:05:39.170655
WNBA,2019,11,63035021,5730456,78102,55122748,0.0111,The Harshest Burns from the Roast of Justin Bieber,2026-05-30T15:05:39.170655
WNBA,2020,11,1321024,120093,55783,465043,0.0182,Top 10 Plays of the Decade,2026-05-30T15:05:39.170655
WNBA,2021,17,17825411,1048554,344037,7678149,0.0174,Liz Cambage Completely DISRESPECTS Her Opponent’s Defense 🥶,2026-05-30T15:05:39.170655
WNBA,2022,31,29920704,965184,625169,6234173,0.0114,8 EJECTED In BRAWL Caused By Hair Pull Between TCU Horned Frogs &amp; George Was,2026-05-30T15:05:39.170655
WNBA,2023,19,150883414,7941232,1851748,106434906,0.022,Kelsey Plum just LAUNCHED IT 😱,2026-05-30T15:05:39.170655
WNBA,2024,30,227044222,7568141,2420918,70768239,0.0184,Awkwardness on display between Chloe Kitts and Collin Murray-Boyles,2026-05-30T15:05:39.170655
WNBA,2025,18,55940230,3107791,2668319,7907702,0.0146,This is without question the best thing I&#39;ve ever seen,2026-05-30T15:05:39.170655
PWHL,2018,69,41866682,606764,12796,37463880,0.012,New York Doctor Spots Cancer on Woman During HGTV Appearance,2026-05-30T15:05:39.170655
PWHL,2019,73,35063232,480318,6676,26260992,0.0169,The Rolling Stones - Honky Tonk Women (Official Lyric Video),2026-05-30T15:05:39.170655
PWHL,2020,79,7634524,96640,2884,2024830,0.0177,Women Play Hockey??? | Andrew Schulz | Stand Up Comedy,2026-05-30T15:05:39.170655
PWHL,2021,79,16955843,214631,11778,5842005,0.022,John Tavares Scary Injury(GRAPHIC)  Dual feed Toronto Maple leafs at Montreal Ca,2026-05-30T15:05:39.170655
PWHL,2022,73,180588074,2473809,3979,173778970,0.0229,There’s no way 😂,2026-05-30T15:05:39.170655
PWHL,2023,101,238036342,2356795,7642,98924657,0.0275,So satisfying 🤩 #shorts,2026-05-30T15:05:39.170655
PWHL,2024,83,27404200,330171,37775,10177492,0.024,Credit: @viaroseee on TikTok #wlw #hockey #romance,2026-05-30T15:05:39.170655
PWHL,2025,73,68787800,942299,47480,22537499,0.0197,The Girl Who Was Crying Finally Got The Hockey Puck ❤️,2026-05-30T15:05:39.170655
Barclays WSL,2018,75,89807158,1197429,266143,25096731,0.0127,Is this the female Barry Sanders ? Follow her on IG : @trackbaby001,2026-05-30T15:05:39.170655
Barclays WSL,2019,94,327240970,3481287,281444,101930570,0.0157,Crazy Goal Celebrations in WOMEN&#39;s Football,2026-05-30T15:05:39.170655
Barclays WSL,2020,101,114369061,1132367,105026,24277591,0.0232,What Happens in Football When The Referee is a Woman,2026-05-30T15:05:39.170655
Barclays WSL,2021,102,716638127,7025864,307407,131963588,0.0189,Iga Swiatek&#39;s incredible on-court football skills,2026-05-30T15:05:39.170655
Barclays WSL,2022,79,501419472,6347082,560370,129587819,0.0252,Alisha Lehmann&#39;s Reply!🤫#football #womensfootball #switzerland,2026-05-30T15:05:39.170655
Barclays WSL,2023,101,1289129339,12763657,293679,247127893,0.0206,🤣🤣 Funniest Moments in Women&#39;s Football #shorts,2026-05-30T15:05:39.170655
Barclays WSL,2024,99,606030011,6121515,530082,100209309,0.0196,Women’s Free Kicks + Men’s 😳🚀,2026-05-30T15:05:39.170655
Barclays WSL,2025,103,1020887870,9911533,1326912,232472246,0.0138,The last Girl🐐☠️.#football #soccer,2026-05-30T15:05:39.170655
