video_id,title,channel,published_at,views,likes,comments,year,league,snapshot_date,engagement_rate
SLskVYo7zVk,Full Game Highlights | Sue Bird TAKES OVER In 4th Q As Storm Advance To Finals,WNBA,2018-09-05 18:48:05+00:00,234309,2176,118,2018,WNBA,2026-05-30T15:05:39.170655,0.0098
2IaIVPD09QA,Best of Sue Bird&#39;s 2018 Season,WNBA,2018-12-06 17:00:00+00:00,212939,2356,621,2018,WNBA,2026-05-30T15:05:39.170655,0.014
tBH46hhUVLg,Top 8th Grader In Iowa Caitlin Clark Mixtape @ Simply The Best!,Courtside,2018-02-20 21:11:17+00:00,163115,1115,164,2018,WNBA,2026-05-30T15:05:39.170655,0.0078
tY9JJN2gcXo,Best of Maya Moore&#39;s 2018 Season,WNBA,2018-10-25 21:37:30+00:00,152930,1429,198,2018,WNBA,2026-05-30T15:05:39.170655,0.0106
Ot2hAg27gwk,Sue Bird&#39;s Career All-Star Highlight Mix,WNBA,2018-07-27 02:02:50+00:00,98393,926,220,2018,WNBA,2026-05-30T15:05:39.170655,0.0116
fcrlM-pA-e4,Skylar Diggins-Smith 1st Round Highlights,WNBA,2018-08-22 04:18:00+00:00,49287,370,33,2018,WNBA,2026-05-30T15:05:39.170655,0.0082
beX_A7sWPK8,Best of Chiney Ogwumike&#39;s 2018 Season,WNBA,2018-11-05 15:29:57+00:00,29449,285,25,2018,WNBA,2026-05-30T15:05:39.170655,0.0105
u7l6QG10qy0,Player of the Month Highlights: Breanna Stewart,WNBA,2018-08-02 02:52:41+00:00,23642,241,21,2018,WNBA,2026-05-30T15:05:39.170655,0.0111
AVHmauxdPN4,Diana Taurasi puts on passing clinic in Mercury playoff win [Highlights] | ESPN,ESPN,2018-08-22 03:57:10+00:00,22922,361,79,2018,WNBA,2026-05-30T15:05:39.170655,0.0192
LAOoF2gyQaA,The Harshest Burns from the Roast of Justin Bieber,Comedy Central,2019-08-25 18:00:00+00:00,55122748,956178,21982,2019,WNBA,2026-05-30T15:05:39.170655,0.0177
f3CBJLAneCA,10-Year-Old HANDLES Like Kyrie Irving | Jiggy Izzy Highlights,Whistle,2019-04-09 21:00:03+00:00,4010145,28632,2352,2019,WNBA,2026-05-30T15:05:39.170655,0.0077
